gene	I	II	III	IV
NBL1	0	2.3256	0	1.7544
HTR6	0	2.3256	0	1.7544
TMCO4	0	2.3256	0	1.7544
RNF186	0	2.3256	0	1.7544
OTUD3	0	2.3256	0	0
PLA2G2E	0	2.3256	0	0
PLA2G2A	0	2.3256	0	0
PLA2G5	0	2.3256	0	0
PLA2G2D	0	2.3256	0	0
PLA2G2F	0	2.3256	0	0
PLA2G2C	0	2.3256	0	0
UBXN10-AS1	0	2.3256	0	0
UBXN10	0	2.3256	0	0
VWA5B1	0	2.3256	0	0
LINC01141	0	2.3256	0	0
CAMK2N1	0	2.3256	0	0
MUL1	0	2.3256	0	0
FAM43B	0	2.3256	0	0
CDA	0	2.3256	0	0
MIR6084	0	2.3256	0	0
PINK1	0	2.3256	0	0
PINK1-AS	0	2.3256	0	0
DDOST	0	2.3256	0	0
KIF17	0	2.3256	0	0
SH2D5	0	2.3256	0	0
HP1BP3	0	2.3256	0	0
EIF4G3	0	2.3256	0	0
hsa-mir-1256	0	2.3256	0	0
ECE1	0	2.3256	0	0
RP5-1071N3.1	0	2.3256	0	0
NBPF3	0	2.3256	0	0
ALPL	0	2.3256	0	0
RAP1GAP	0	2.3256	0	0
USP48	0	2.3256	1.7241	0
LDLRAD2	0	2.3256	1.7241	0
HSPG2	0	2.3256	3.4483	0
CDC42	0	2.3256	1.7241	0
CELA3A	0	2.3256	1.7241	0
CELA3B	0	2.3256	1.7241	0
LINC00339	0	2.3256	1.7241	0
RP1-224A6.3	0	2.3256	1.7241	0
WNT4	0	2.3256	1.7241	0
ZBTB40	0	2.3256	0	0
EPHA8	0	2.3256	0	0
MIR6127	0	2.3256	0	0
C1QA	0	2.3256	0	0
C1QC	0	2.3256	0	0
C1QB	0	2.3256	0	0
EPHB2	0	2.3256	0	0
MIR4684	0	2.3256	0	0
MIR4253	0	1.1628	0	0
LACTBL1	0	1.1628	0	0
C1orf234	0	1.1628	0	0
KDM1A	0	1.1628	1.7241	0
MIR3115	0	1.1628	1.7241	0
LUZP1	0	1.1628	1.7241	0
HTR1D	0	1.1628	1.7241	0
RP5-1057J7.6	0	1.1628	1.7241	0
HNRNPR	0	1.1628	1.7241	0
ZNF436	0	1.1628	0	0
C1orf213	0	1.1628	0	0
TCEA3	0	1.1628	0	0
ASAP3	0	1.1628	0	0
E2F2	0	1.1628	0	0
LOC101928163	0	1.1628	0	0
ID3	0	1.1628	0	0
MDS2	0	1.1628	0	0
RPL11	0	1.1628	0	0
TCEB3	0	2.3256	0	0
RP5-886K2.3	0	2.3256	0	0
PITHD1	0	3.4884	0	0
GALE	0	3.4884	0	0
HMGCL	0	3.4884	0	0
LYPLA2	0	3.4884	0	0
FUCA1	0	3.4884	3.4483	0
CNR2	0	3.4884	3.4483	0
MIR378F	0	3.4884	3.4483	0
PNRC2	0	3.4884	3.4483	0
SRSF10	0	3.4884	3.4483	0
MYOM3	0	3.4884	3.4483	0
IL22RA1	0	1.1628	3.4483	0
IFNLR1	0	1.1628	3.4483	0
RP11-10N16.2	0	1.1628	3.4483	0
GRHL3	0	1.1628	3.4483	0
STPG1	0	1.1628	3.4483	0
NIPAL3	0	1.1628	3.4483	0
RCAN3AS	0	0	3.4483	0
RCAN3	0	0	3.4483	0
RP4-594I10.3	0	0	3.4483	0
NCMAP	0	0	1.7241	0
SRRM1	0	0	1.7241	0
CLIC4	0	0	0	0
RUNX3	0	0	0	0
MIR6731	0	0	0	0
RHCE	0	0	0	0
RHD	0	0	0	0
RSRP1	0	0	0	0
SYF2	0	0	0	0
TMEM50A	0	0	0	0
TMEM57	0	0	0	0
LDLRAP1	0	0	0	0
MAN1C1	0	0	0	0
SEPN1	0	0	0	0
LOC646471	0	0	0	0
MTFR1L	0	0	0	0
AUNIP	0	0	0	0
PAQR7	0	0	0	0
STMN1	0	0	0	0
MIR3917	0	0	0	0
PAFAH2	0	0	0	0
EXTL1	0	0	0	0
SLC30A2	0	0	0	0
TRIM63	0	0	0	0
PDIK1L	0	0	0	0
FAM110D	0	0	0	0
ZNF593	0	0	0	0
CNKSR1	0	0	0	0
CATSPER4	0	0	0	0
LOC101928303	0	0	0	0
CEP85	0	0	0	0
SH3BGRL3	0	0	0	0
UBXN11	0	0	0	0
AIM1L	0	0	0	0
CD52	0	0	0	0
ZNF683	0	0	0	0
LIN28A	0	0	0	0
DHDDS	0	0	0	0
HMGN2	0	0	0	0
RPS6KA1	0	0	0	0
MIR1976	0	0	0	0
ARID1A	0	0	0	0
PIGV	0	0	0	0
ZDHHC18	0	0	0	0
SFN	0	0	0	0
GPN2	0	1.1628	0	0
GPATCH3	0	1.1628	0	0
NR0B2	0	0	0	0
NUDC	0	0	0	0
C1orf172	0	0	0	0
TRNP1	0	0	0	0
FAM46B	0	0	0	0
SLC9A1	0	0	0	0
WDTC1	0	0	0	0
LOC644961	0	0	0	0
TMEM222	0	0	0	0
SYTL1	0	0	0	0
MAP3K6	0	0	0	0
FCN3	0	0	0	0
CD164L2	0	0	0	0
GPR3	0	0	0	1.7544
WASF2	0	0	0	1.7544
AHDC1	0	0	0	1.7544
FGR	0	0	0	0
IFI6	0	0	0	0
FAM76A	0	0	0	0
STX12	0	0	1.7241	0
PPP1R8	0	0	1.7241	0
SCARNA1	0	0	1.7241	0
THEMIS2	0	0	0	0
RPA2	0	0	0	0
SMPDL3B	0	0	0	0
XKR8	0	0	0	0
EYA3	0	0	0	0
PTAFR	0	0	0	0
DNAJC8	0	0	1.7241	0
ATPIF1	0	0	1.7241	0
SESN2	0	0	1.7241	0
MED18	0	0	1.7241	0
PHACTR4	0	0	0	0
RCC1	0	0	1.7241	0
SNHG3	0	0	0	0
TRNAU1AP	0	0	1.7241	0
SNHG12	0	0	1.7241	0
SNORD99	0	0	1.7241	0
SNORA44	0	0	1.7241	0
SNORA61	0	0	1.7241	0
SNORA16A	0	0	1.7241	0
RAB42	0	0	1.7241	0
TAF12	0	0	1.7241	0
RNU11	0	0	0	0
GMEB1	0	0	0	0
YTHDF2	0	1.1628	0	0
OPRD1	0	1.1628	0	0
EPB41	0	1.1628	0	0
TMEM200B	0	1.1628	0	0
SRSF4	0	1.1628	0	0
MECR	0	1.1628	0	0
PTPRU	0	1.1628	0	0
RP3-437I16.1	0	1.1628	0	0
RP11-111I12.1	0	0	0	0
LAPTM5	0	0	0	0
MATN1-AS1	0	0	0	0
MATN1	0	0	0	0
MIR4420	0	0	0	0
SDC3	0	1.1628	0	0
PUM1	0	1.1628	0	0
SNORD103A	0	1.1628	0	0
SNORD85	0	1.1628	0	0
NKAIN1	0	1.1628	0	0
SNRNP40	0	1.1628	0	0
ZCCHC17	0	1.1628	0	0
FABP3	0	1.1628	0	0
SERINC2	0	1.1628	3.4483	0
LINC01225	0	1.1628	1.7241	0
LINC01226	0	1.1628	1.7241	0
TINAGL1	0	0	1.7241	0
HCRTR1	0	0	1.7241	0
PEF1	0	0	1.7241	0
COL16A1	0	0	1.7241	0
BAI2	0	0	1.7241	0
MIR4254	0	0	1.7241	0
SPOCD1	1.1628	0	1.7241	0
PTP4A2	1.1628	0	1.7241	0
KHDRBS1	0	0	1.7241	0
TMEM39B	0	0	1.7241	0
KPNA6	0	0	1.7241	0
TXLNA	0	0	1.7241	0
CCDC28B	0	0	1.7241	0
IQCC	0	0	1.7241	0
DCDC2B	0	0	1.7241	0
TMEM234	0	0	1.7241	0
EIF3I	0	0	1.7241	0
MTMR9LP	0	0	1.7241	0
FAM167B	0	0	1.7241	0
LCK	0	1.1628	1.7241	0
HDAC1	0	1.1628	1.7241	0
MARCKSL1	0	1.1628	1.7241	0
BSDC1	0	1.1628	1.7241	0
FAM229A	0	1.1628	1.7241	0
TSSK3	0	1.1628	1.7241	0
ZBTB8B	0	1.1628	1.7241	0
ZBTB8A	0	1.1628	1.7241	1.7544
ZBTB8OS	0	2.3256	1.7241	1.7544
RBBP4	0	2.3256	1.7241	1.7544
SYNC	0	3.4884	1.7241	1.7544
KIAA1522	0	3.4884	1.7241	1.7544
YARS	0	3.4884	1.7241	1.7544
S100PBP	0	3.4884	1.7241	1.7544
FNDC5	0	3.4884	1.7241	1.7544
HPCA	0	2.3256	1.7241	1.7544
TMEM54	0	2.3256	1.7241	1.7544
RNF19B	0	2.3256	1.7241	1.7544
AK2	0	2.3256	3.4483	3.5088
ADC	0	2.3256	3.4483	3.5088
TRIM62	0	2.3256	3.4483	3.5088
ZNF362	0	2.3256	1.7241	1.7544
A3GALT2	0	2.3256	1.7241	1.7544
PHC2	0	2.3256	1.7241	1.7544
MIR3605	0	2.3256	1.7241	1.7544
ZSCAN20	0	1.1628	1.7241	0
CSMD2	0	1.1628	1.7241	0
HMGB4	0	1.1628	1.7241	0
RP5-1007G16.1	0	1.1628	1.7241	0
C1orf94	0	1.1628	1.7241	0
hsa-mir-552	1.1628	1.1628	1.7241	0
GJB5	1.1628	1.1628	1.7241	0
GJB4	1.1628	1.1628	1.7241	0
GJB3	1.1628	1.1628	1.7241	0
GJA4	1.1628	1.1628	1.7241	0
SMIM12	0	2.3256	1.7241	0
DLGAP3	0	2.3256	1.7241	0
LOC653160	0	2.3256	1.7241	0
ZMYM6NB	0	2.3256	1.7241	0
ZMYM6	0	2.3256	1.7241	0
ZMYM1	0	2.3256	1.7241	0
SFPQ	0	2.3256	1.7241	0
ZMYM4	0	2.3256	1.7241	0
KIAA0319L	0	2.3256	1.7241	0
NCDN	0	2.3256	1.7241	0
TFAP2E	0	2.3256	1.7241	0
PSMB2	0	2.3256	1.7241	0
C1orf216	0	2.3256	1.7241	0
CLSPN	0	2.3256	1.7241	0
AGO4	0	2.3256	1.7241	0
AGO1	0	2.3256	1.7241	0
AGO3	0	2.3256	3.4483	0
TEKT2	0	2.3256	3.4483	0
ADPRHL2	0	2.3256	3.4483	0
COL8A2	0	2.3256	3.4483	0
TRAPPC3	0	2.3256	3.4483	0
MAP7D1	0	2.3256	1.7241	0
THRAP3	0	2.3256	1.7241	0
SH3D21	0	2.3256	1.7241	0
EVA1B	0	2.3256	1.7241	0
STK40	0	2.3256	1.7241	0
LSM10	0	2.3256	1.7241	0
OSCP1	0	2.3256	1.7241	0
MRPS15	0	2.3256	1.7241	0
CSF3R	0	2.3256	1.7241	0
GRIK3	0	2.3256	1.7241	0
MIR4255	0	2.3256	1.7241	0
LINC01137	0	2.3256	1.7241	0
ZC3H12A	0	2.3256	1.7241	0
MIR6732	0	2.3256	1.7241	0
MEAF6	0	2.3256	3.4483	0
MIR5581	0	2.3256	1.7241	0
SNIP1	0	1.1628	3.4483	0
DNALI1	0	1.1628	3.4483	0
GNL2	0	1.1628	1.7241	1.7544
RSPO1	0	1.1628	1.7241	1.7544
C1orf109	0	1.1628	1.7241	1.7544
CDCA8	0	1.1628	3.4483	1.7544
EPHA10	0	1.1628	3.4483	1.7544
MANEAL	0	1.1628	3.4483	1.7544
YRDC	0	1.1628	3.4483	1.7544
C1orf122	0	1.1628	3.4483	1.7544
MTF1	0	1.1628	3.4483	1.7544
INPP5B	0	1.1628	1.7241	1.7544
SF3A3	0	1.1628	1.7241	1.7544
FHL3	0	1.1628	1.7241	1.7544
UTP11L	0	1.1628	1.7241	1.7544
POU3F1	0	1.1628	1.7241	1.7544
MIR3659	0	1.1628	1.7241	1.7544
RP11-214L19.1	0	1.1628	1.7241	1.7544
RRAGC	1.1628	1.1628	1.7241	1.7544
GJA9-MYCBP	1.1628	1.1628	1.7241	1.7544
MYCBP	1.1628	1.1628	1.7241	1.7544
GJA9	1.1628	1.1628	1.7241	1.7544
RHBDL2	1.1628	1.1628	1.7241	1.7544
AKIRIN1	1.1628	1.1628	1.7241	1.7544
NDUFS5	1.1628	1.1628	1.7241	1.7544
MACF1	1.1628	1.1628	3.4483	3.5088
KIAA0754	1.1628	1.1628	1.7241	1.7544
BMP8A	1.1628	1.1628	1.7241	1.7544
PPIEL	1.1628	1.1628	1.7241	1.7544
PABPC4	1.1628	1.1628	1.7241	1.7544
SNORA55	1.1628	1.1628	1.7241	1.7544
HEYL	-1.1628	-1.1628	-1.7241	-0
HPCAL4	1.1628	1.1628	1.7241	0
NT5C1A	1.1628	1.1628	1.7241	0
PPIE	1.1628	1.1628	1.7241	0
BMP8B	1.1628	1.1628	1.7241	0
OXCT2	1.1628	1.1628	1.7241	0
TRIT1	1.1628	1.1628	1.7241	0
MYCL	1.1628	1.1628	1.7241	0
MFSD2A	1.1628	1.1628	3.4483	1.7544
CAP1	1.1628	1.1628	3.4483	1.7544
PPT1	1.1628	1.1628	1.7241	0
RLF	1.1628	1.1628	1.7241	0
TMCO2	1.1628	1.1628	1.7241	0
ZMPSTE24	1.1628	1.1628	1.7241	0
COL9A2	1.1628	1.1628	1.7241	0
SMAP2	1.1628	2.3256	1.7241	0
ZFP69B	1.1628	1.1628	1.7241	0
ZFP69	1.1628	1.1628	1.7241	0
EXO5	1.1628	1.1628	1.7241	0
ZNF684	1.1628	1.1628	1.7241	0
RIMS3	1.1628	1.1628	1.7241	0
NFYC-AS1	1.1628	1.1628	1.7241	0
NFYC	1.1628	1.1628	1.7241	0
MIR30E	1.1628	1.1628	1.7241	0
MIR30C1	1.1628	1.1628	1.7241	0
KCNQ4	1.1628	2.3256	1.7241	0
CITED4	1.1628	2.3256	1.7241	0
CTPS1	1.1628	2.3256	1.7241	0
SLFNL1-AS1	1.1628	2.3256	1.7241	0
SLFNL1	1.1628	2.3256	1.7241	0
SCMH1	1.1628	2.3256	1.7241	1.7544
EDN2	0	0	1.7241	0
HIVEP3	0	0	1.7241	1.7544
GUCA2B	0	0	1.7241	0
GUCA2A	0	0	1.7241	0
FOXJ3	0	0	1.7241	0
RIMKLA	0	0	1.7241	0
