gene	I_gain	II_gain	III_gain	IV_gain	I_gain_ratio	II_gain_ratio	III_gain_ratio	IV_gain_ratio
PLCH2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PLEKHN1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PRDM16	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PRKCZ	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
PUSL1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
RER1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
RNF223	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
RP11-465B22.5	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
RP4-669L17.10|chr1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SAMD11	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SCNN1D	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SDF4	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SKI	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SLC35E2B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SLC35E2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
SSU72	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TAS1R3	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TMEM240	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TMEM52	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TMEM88B	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TNFRSF14	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TNFRSF18	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TNFRSF4	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TTC34	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
TTLL10	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
UBE2J2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
VWA1	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
WASH7P	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
hsa-mir-1302-2	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
ARHGEF16	1	1	2	1	1.1628 	1.1628 	3.4483 	1.7544 
MEGF6	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
MIR551A	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
hsa-mir-551a	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
TPRG1L	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
WRAP73	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
TP73	0	1	2	1	0.0000 	1.1628 	3.4483 	1.7544 
TP73-AS1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
CCDC27	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
SMIM1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
LRRC47	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
CEP104	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
DFFB	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
C1orf174	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
LINC01134	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
RP13-614K11.1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
RP5-1166F10.1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
AJAP1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
MIR4417	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
MIR4689	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
NPHP4	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
KCNAB2	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
CHD5	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
RPL22	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
RNF207	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
ICMT	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
LINC00337	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
GPR153	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
HES3	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
ACOT7	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
HES2	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
ESPN	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
MIR4252	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
PLEKHG5	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
TNFRSF25	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
NOL9	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
TAS1R1	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
ZBTB48	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
KLHL21	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
PHF13	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
THAP3	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
DNAJC11	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
LOC100505887	0	1	2	0	0.0000 	1.1628 	3.4483 	0.0000 
CAMTA1	1	2	2	1	1.1628 	2.3256 	3.4483 	1.7544 
VAMP3	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
PER3	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
UTS2	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
TNFRSF9	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
PARK7	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
ERRFI1	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
SLC45A1	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
RERE	0	4	2	0	0.0000 	4.6512 	3.4483 	0.0000 
ENO1	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
MIR6728	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
ENO1-AS1	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
CA6	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
SLC2A7	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
SLC2A5	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
GPR157	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
MIR34A	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
H6PD	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
SPSB1	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
LOC100506022	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
SLC25A33	0	4	1	0	0.0000 	4.6512 	1.7241 	0.0000 
TMEM201	0	4	1	0	0.0000 	4.6512 	1.7241 	0.0000 
C1orf200	0	4	1	0	0.0000 	4.6512 	1.7241 	0.0000 
PIK3CD	0	4	1	0	0.0000 	4.6512 	1.7241 	0.0000 
CLSTN1	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
CTNNBIP1	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
LZIC	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
NMNAT1	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
RBP7	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
UBE4B	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
KIF1B	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
hsa-mir-1273d	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
PGD	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
APITD1-CORT	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
APITD1	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
CORT	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
DFFA	0	5	1	0	0.0000 	5.8140 	1.7241 	0.0000 
PEX14	1	5	1	0	1.1628 	5.8140 	1.7241 	0.0000 
CASZ1	1	5	1	0	1.1628 	5.8140 	1.7241 	0.0000 
C1orf127	0	4	1	0	0.0000 	4.6512 	1.7241 	0.0000 
TARDBP	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MASP2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SRM	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
EXOSC10	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MTOR	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MTOR-AS1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
ANGPTL7	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
UBIAD1	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PTCHD2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
RP1-69M21.2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
FBXO2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
FBXO44	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
FBXO6	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
MAD2L2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
DRAXIN	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
AGTRAP	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
MTHFR	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
CLCN6	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
NPPA-AS1	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
NPPA	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
NPPB	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
KIAA2013	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PLOD1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MFN2	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
MIIP	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
MIR6729	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
TNFRSF8	0	3	3	0	0.0000 	3.4884 	5.1724 	0.0000 
MIR7846	0	3	3	0	0.0000 	3.4884 	5.1724 	0.0000 
TNFRSF1B	0	3	3	0	0.0000 	3.4884 	5.1724 	0.0000 
MIR4632	0	3	3	0	0.0000 	3.4884 	5.1724 	0.0000 
VPS13D	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
SNORA59A|chr1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
DHRS3	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MIR6730	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
AADACL4	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
AADACL3	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
C1orf158	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
HNRNPCL1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
HNRNPCP5	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
LOC649330	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF10	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF11	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF12	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF13	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF15	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF16	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF17	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF18	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF20	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF21	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF22	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF23	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF3	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF4	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF5	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF6	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF7	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF8	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRAMEF9	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
LRRC38	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PDPN	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PRDM2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
KAZN	2	3	1	0	2.3256 	3.4884 	1.7241 	0.0000 
TMEM51-AS1	1	3	1	0	1.1628 	3.4884 	1.7241 	0.0000 
TMEM51	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
C1orf195	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
FHAD1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
EFHD2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CTRC	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CELA2A	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CELA2B	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CASP9	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
DNAJC16	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
AGMAT	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
DDI2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
RSC1A1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
PLEKHM2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
FBLIM1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SLC25A34	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
TMEM82	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
UQCRHL	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
FLJ37453	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SPEN	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
ZBTB17	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
C1orf64	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
HSPB7	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CLCNKA	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CLCNKB	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
FAM131C	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
EPHA2	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
ARHGEF19	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
RSG1	0	3	2	0	0.0000 	3.4884 	3.4483 	0.0000 
FBXO42	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SZRD1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SPATA21	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
NECAP2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CROCCP3	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
ATP13A2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CROCCP2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
CROCC	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
ESPNP	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
FAM231A	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MFAP2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MIR3675	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MST1L	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
MST1P2	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
NBPF1	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
SDHB	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PADI2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PADI1	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PADI3	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PADI4	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
PADI6	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
RCC2	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
ARHGEF10L	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
ACTL8	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
IGSF21	0	3	1	0	0.0000 	3.4884 	1.7241 	0.0000 
KLHDC7A	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
PAX7	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
TAS1R2	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
ALDH4A1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
MIR4695	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
hsa-mir-1290	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
IFFO2	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
UBR4	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
EMC1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
MRTO4	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
AKR7A3	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
AKR7L	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
LOC100506730	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
AKR7A2	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
PQLC2	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
CAPZB	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
MINOS1-NBL1	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
MINOS1	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
RPS14P3	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
NBL1	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
HTR6	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
TMCO4	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
RNF186	0	2	0	1	0.0000 	2.3256 	0.0000 	1.7544 
OTUD3	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G2E	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G2A	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G5	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G2D	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G2F	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PLA2G2C	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
UBXN10-AS1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
UBXN10	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
VWA5B1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
LINC01141	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
CAMK2N1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
MUL1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
FAM43B	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
CDA	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
MIR6084	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PINK1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
PINK1-AS	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
DDOST	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
KIF17	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
SH2D5	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
HP1BP3	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
EIF4G3	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
hsa-mir-1256	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
ECE1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
RP5-1071N3.1	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
NBPF3	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
ALPL	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
RAP1GAP	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
USP48	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
LDLRAD2	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
HSPG2	0	2	2	0	0.0000 	2.3256 	3.4483 	0.0000 
CDC42	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
CELA3A	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
CELA3B	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
LINC00339	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
RP1-224A6.3	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
WNT4	0	2	1	0	0.0000 	2.3256 	1.7241 	0.0000 
ZBTB40	0	2	0	0	0.0000 	2.3256 	0.0000 	0.0000 
